AIBL,AIBR,AVAL,AVAR,AVBL,AVBR,AVEL,AVER,BAGL,BAGR,OLLL,OLLR,OLQVL,RIBL,RIBR,RID,RIML,RIMR,RIVL,RIVR,RMED,RMER,RMEV,SMDVL,SMDVR,URYDL,URYDR,URYVL,URYVR
101.1760419,137.985288,242.0367414,189.6632907,243.2318153,52.05452385,29.19030024,42.83964925,117.2305805,44.04479266,74.55292575,41.75394673,43.39606449,145.0127936,52.05452385,69.6511466,23.19809608,140.1271207,131.836409,0,197.7165009,129.7847363,140.6521355,149.8710612,102.6336281,12.03281608,24.0186608,65.27983175,10.63869425
107.4060684,169.7548336,310.3806101,232.102565,156.0764588,29.50108962,21.53553293,50.59137977,46.93662466,26.24850462,34.02382578,25.15106197,33.39535807,53.89695812,29.50108962,40.88355824,39.87626773,164.697863,67.16210282,2.844075828,112.1556577,83.82001907,82.58219279,71.00877214,72.7207329,10.12923336,29.1596858,53.54053244,19.70877593
166.5329743,204.4390375,381.6239874,258.654487,125.0123348,22.7036465,31.279773,59.62978901,61.37099076,40.04735934,32.1093086,24.96327176,35.20660303,31.42424403,22.7036465,38.47417607,47.31674016,151.4339005,54.61880316,5.604245487,80.82499153,69.27092463,65.55100834,51.17408707,56.84036748,17.02793581,35.66614159,48.07170453,30.35820053
226.1726679,250.3755584,413.0588456,261.9282308,102.9761375,13.64584754,36.62008856,71.38886397,62.55437646,44.5570104,29.99545488,25.21689038,42.20487682,17.44328922,13.64584754,18.47461882,56.86315938,145.9167864,45.9368932,10.40914966,66.24898893,55.95377106,53.16305609,41.20697126,48.26179535,15.76997226,41.04761848,41.62783566,28.57753209
281.3185767,249.7240512,415.494985,281.1696488,93.66920479,10.30414642,45.23833198,66.99137647,79.09615794,47.07543038,28.35701372,26.08219013,44.85419013,14.98896427,10.30414642,15.87018932,63.86932264,104.3389109,41.51662674,19.14381849,52.95926327,39.63703244,47.56001345,32.41367618,54.82493219,17.27153445,39.88031615,34.42714288,29.25770551
370.0689453,252.3192164,433.9780792,272.1267869,70.02434901,10.92054606,53.74618172,77.12021134,92.23700736,52.51337538,23.42114362,24.04581401,51.61560224,5.032738873,10.92054606,14.90043877,95.95574318,131.2621698,36.40371389,18.52221175,47.71469948,34.79396062,39.16022397,31.47129668,48.21525839,36.35931616,51.66299376,35.33525302,34.99030179
361.1347562,254.6891171,434.2420199,257.2502069,57.92581747,7.360885731,53.8595179,77.67069019,62.13667821,49.82401455,32.40936786,19.64618996,55.54492384,8.128810763,7.360885731,10.35983393,94.14673543,109.3610703,39.92407147,35.41462746,37.14662577,33.76591708,26.07405814,16.6162058,65.44144034,21.15988927,56.36806373,31.96298968,38.49561826
350.5528694,255.7736057,411.6011788,262.9149862,54.79813482,6.299542153,67.58713319,79.00083679,82.49182761,54.41080609,35.51471288,26.42820297,45.3486419,11.51281466,6.299542153,10.5962824,104.3137886,106.4021224,40.59311814,52.22198434,28.41724656,31.08562325,34.19130043,13.26803315,67.47355026,17.79745113,73.19925635,31.79886594,40.82709386
336.4865539,258.3450007,391.1496267,264.3977453,54.18445886,7.526721309,69.80509033,78.40807033,97.03829263,60.47395095,29.17694845,27.06017056,46.0227574,4.98094674,7.526721309,6.429027451,110.7815356,97.29936493,37.74671442,80.84959153,24.57209351,29.88971304,23.52956115,16.13570079,77.30741807,10.2566831,78.83458219,24.44203498,41.15803422
313.1237939,255.802727,393.7261503,262.8376087,44.12852452,8.10763362,69.2973066,77.41792323,90.73139154,56.70028593,24.73903631,28.86829584,46.3928222,9.585776634,8.10763362,14.02314614,104.7399142,90.74240315,33.79863586,115.2860675,23.94865198,27.03619369,19.27945529,6.39910998,95.42067213,17.7176472,76.22189504,25.02196053,51.98199195
