AIBL,AIBR,AVAL,AVAR,AVBL,AVBR,AVEL,AVER,BAGL,BAGR,OLLL,OLLR,OLQDL,OLQVR,RIBL,RIBR,RID,RIVL,RIVR,RMED,RMEL,RMER,RMEV,SMDDL,SMDVL,SMDVR,URYDL,URYDR,URYVL
351.102615,534.1806115,523.5002292,868.9717656,32.71972299,68.95732866,399.8141818,474.0284853,110.6903142,162.2520957,137.9813304,235.2609224,133.6604756,165.3928963,6.744299842,48.15172616,24.91448632,100.6982811,270.116159,638.0342312,128.8156386,323.6503023,2.573501854,20.83739663,31.36126825,44.42267856,136.7599039,95.36861343,79.69124435
245.7566354,400.0129537,391.0945993,542.3108611,33.74689726,42.34048019,276.0147213,270.6306341,54.41650363,72.94068895,116.2762934,146.5926863,108.8277514,89.343695,3.463185757,28.93028001,21.32742805,77.64970748,155.2787564,475.9448881,89.33842619,175.6855461,0,9.503448089,30.5817042,16.07777498,154.8084183,66.56166019,24.86929903
232.5963261,338.6425673,375.8833175,486.6867235,28.5058888,42.29086464,217.7711693,232.2572252,33.78764313,45.87533094,78.58311647,102.1956964,86.43465702,84.04236427,17.00639138,22.6721008,32.79587575,85.40965703,126.6245062,314.8763573,60.58256277,123.7066152,2.157697617,4.686020655,41.83271486,26.67571182,110.9179707,67.53417239,35.27320633
196.3693331,341.8331002,350.7939699,494.6193852,18.06301128,22.93600198,185.1915878,198.643214,33.19075723,50.6040089,64.35095049,85.62996662,72.49676769,82.34211638,17.24063078,15.60832414,29.11879368,52.56928759,107.295086,300.8867428,59.01170091,90.05550842,8.802454873,4.72880116,32.05200911,23.96624527,87.66572277,69.45557491,24.65559589
231.5172073,310.7725346,349.4664283,476.6694041,22.60509892,26.49501027,189.630402,174.8115433,32.00998002,36.55203497,50.5549273,78.66568602,61.84792219,74.72314071,18.28735507,17.81015723,34.94924648,76.11685688,100.7456058,279.6135944,47.02158298,91.71983811,4.186052962,5.908848817,51.07957233,29.40788855,79.63408847,68.53966421,27.36061854
196.4300479,283.1975758,292.4362895,457.3590842,96.19635205,40.83253494,142.7035694,158.2989472,13.28921568,32.18757948,38.62500107,47.64174467,33.6960628,40.71489093,27.07787268,60.23801803,44.60899126,144.0093987,170.4093859,242.7083779,38.77612612,81.87768489,13.6283361,6.881659796,81.9160399,91.69561566,66.2801641,61.02977527,22.86462751
141.6577435,232.2370198,229.6379594,409.2830686,262.0867019,238.471668,97.31535218,168.6430714,18.62309115,44.40634893,35.79376392,68.37873983,28.43534369,39.64606937,51.94419728,325.6879884,167.9470515,167.3581666,238.8326867,214.1233665,43.20732861,123.1909398,40.39539042,18.1886133,111.1185653,197.2643986,59.17577116,67.03159956,26.89051357
123.2986203,170.334175,193.663574,343.9649833,318.1901898,315.8374184,74.54863039,106.5718193,23.01580349,33.29150853,35.43819107,48.66830156,26.72258534,29.35689762,59.85384671,384.1624078,230.7338751,185.7783467,238.8785427,218.4714039,43.3408321,74.3683126,54.0230153,25.81909872,134.7805491,176.2098249,48.14052872,58.15562111,37.94197304
97.96294643,148.1731327,156.6646642,291.818798,311.0158527,359.7299814,61.67183529,98.46638488,27.92422241,38.66782772,32.18612553,42.78441308,18.32372733,22.67898442,55.47394799,413.5928535,278.689465,177.9501166,217.0643528,237.4732501,45.10678161,68.49423242,69.00333699,28.9391829,142.2723507,157.4004835,47.46839285,55.18397978,30.39531897
89.30783578,131.6702631,139.2186753,245.9249593,282.2832904,361.4483626,49.56839772,88.46398181,19.32666156,40.06628246,31.21873394,43.60796347,10.44361598,11.17733603,54.05553507,400.7539765,284.9857665,160.3901579,212.0553504,230.4204728,46.40072743,63.33726669,77.27879224,28.23491187,127.7155012,151.0931019,45.68397901,45.33775375,34.21992021
71.28287791,139.3720996,122.4217532,204.399063,265.1215593,370.467846,34.30260285,96.98759423,18.49073527,50.23664397,25.78161076,40.97683926,10.45298504,13.08974754,57.7423894,392.5498452,304.1155729,152.9907645,231.501178,212.5935655,54.22386569,90.23222009,86.86446767,30.81547259,125.8282844,168.1715039,38.09211342,50.51155115,47.49459312
69.94251428,127.4045871,94.27886059,202.7143783,296.4069869,394.2661141,30.8073491,92.57082489,22.51239474,45.94432712,35.25890214,44.93379737,13.46910116,10.56023942,73.3710702,439.8634783,322.509836,125.9581901,266.0128951,226.8647749,51.14506162,80.28031567,101.9317283,32.27485152,144.4357464,171.2929753,36.22483087,43.16743967,40.44064693
52.28270848,110.1777558,84.22934341,149.23872,267.5863189,382.4013139,23.74317344,85.24620948,28.49724616,58.82990732,30.88104505,36.00264007,9.070617932,7.205762844,74.22370231,412.6839755,293.5021059,123.6592068,219.9894572,246.160813,56.15625523,81.88178537,112.6645947,28.92299183,140.8771164,184.7468394,29.97059896,43.11247871,50.70855905
63.32950078,107.3562011,71.53504412,135.8029652,243.9607909,386.3476402,21.88061788,76.63834247,30.41999972,54.27727741,32.89645944,38.80226665,10.57310217,9.859523152,67.35631133,380.2937286,277.9018272,100.9001405,199.172505,265.7510894,55.3838784,86.60237499,114.4377811,36.26204936,146.6031822,176.6451601,28.80349715,42.71106942,66.28156824
59.96795378,116.2591967,68.74612677,135.1511564,245.9532799,408.7958199,27.04898325,82.77976355,38.55028506,61.49193045,37.28637679,48.55159552,12.02212035,16.21387846,82.23232271,396.4121206,285.7048277,121.3727226,212.7954179,306.510137,67.10435873,100.2392922,133.5601986,48.88259224,148.4012152,177.4844346,30.24751629,48.49511208,54.61885483
47.91060593,98.31521917,55.35473747,122.5168104,236.9739751,372.4629025,13.77929678,74.67810627,30.61862865,62.46552678,26.62575836,38.63035988,8.857982183,10.01435491,74.57019828,394.822809,284.2488156,110.6472587,211.2649109,298.6573575,59.01512974,91.74246586,121.9867533,33.98848071,142.9365135,169.7660162,25.99749403,48.06218172,54.87988057
35.22856859,92.1708278,49.90664036,96.41690782,209.837371,300.6606074,10.05882204,63.06684911,32.14434077,66.07185989,31.04291684,52.31742998,13.91288299,0,79.5262202,326.5733411,248.4786883,113.7358218,202.7664415,320.5009128,62.57272234,71.12736502,119.9086072,25.32933763,148.0868672,115.7791619,26.56184466,30.69164773,73.17334788
44.59813433,104.7179871,49.27314186,101.7237377,234.9189584,343.9376155,10.50309457,58.8790158,33.54117208,65.81510108,25.232587,36.87512235,10.58113865,4.172173705,94.56594615,342.3256992,241.3252257,139.0739326,231.0194468,341.711529,60.84490136,95.92430555,115.4285493,27.07860068,137.1016074,171.4549567,20.91366234,45.8617452,57.94222043
46.86875059,97.18755131,48.93144645,102.2022702,254.6100099,363.0024089,13.10252461,63.01813191,33.74892441,71.78931922,28.05443112,33.72832066,15.01557812,5.939929997,94.27453311,348.8159725,263.6173651,158.7903059,265.4883337,357.3311169,60.46488463,115.7933636,135.6343687,37.80923602,149.3817665,168.905124,23.21055134,42.27653751,77.04107269
52.3783075,91.14937603,39.65427667,81.79867096,274.3900768,323.0448582,6.896377052,52.05153562,30.51579805,57.87362307,29.48616595,34.41074827,6.693662809,7.364678735,98.16310015,329.1337193,221.2543227,147.6626126,249.9683742,363.4283407,78.4849822,100.0459705,130.9426545,27.77732853,155.6058394,160.4620129,13.4712819,39.58310733,85.15587459
64.35839761,99.55650692,43.84186509,83.25637117,271.9053966,325.3072106,12.54917197,60.02818309,40.12385743,71.42018572,37.32720576,39.42146103,12.82351272,15.33027149,102.2440342,333.581792,231.7398107,148.281809,239.4074872,367.685277,86.95536872,111.2073816,144.6737952,34.07826984,173.7041977,186.4828495,22.29914432,42.07523534,89.56919796
59.4751551,100.4867188,40.92083087,79.9794636,222.48253,282.6380052,9.898848914,55.86043831,44.45498603,66.31872936,30.16663604,35.46201218,4.229113165,14.93759912,97.53554068,311.1257516,201.139593,135.673888,220.3962258,353.2770355,85.14711194,99.18736291,126.1371585,30.5744562,157.5241078,179.6369165,16.60666644,38.80491006,69.85057445
50.06479295,103.5851455,35.47832569,67.93060864,215.2031121,273.5480022,7.383785361,57.04147736,33.82818051,48.21053444,29.06086909,38.10817062,1.140076379,8.447255334,81.84883229,305.2204285,194.6194275,122.6762409,218.46452,368.5847009,73.47192367,102.1971341,105.5935956,24.77061505,146.7306533,173.5754049,15.05249233,33.1309738,94.35920807
50.33207132,101.913062,35.86008088,71.55309939,208.3299809,264.0887909,12.18582575,53.59926862,44.40656826,56.98202519,30.14948448,39.60126343,8.390146079,9.243514227,115.3380655,305.4413148,234.3850213,121.7182792,241.4489441,351.1645563,76.3314989,99.55156078,115.1604681,22.16292601,150.257425,169.6124605,12.26498987,35.69921451,96.8557578
53.21442185,96.04594027,35.62611153,65.97334211,203.7072602,255.1480924,5.727152682,58.40881005,40.12635461,54.76425442,26.70324568,36.90037272,2.891327679,6.79527266,97.02343742,284.0002448,223.95398,120.5290339,197.2096138,352.1659396,80.83818857,88.43562528,114.884239,21.49333175,151.7084849,157.5158124,11.68326551,30.63169637,91.33182938
69.84663794,117.9855507,44.01605759,74.29968481,205.2412514,256.6861413,13.90027386,61.76914099,57.30869906,69.0336719,36.57933898,48.0270229,6.10890286,14.28955286,84.58929992,284.725052,236.1445239,110.1204414,181.6043834,385.2934278,86.6795414,92.05254094,136.5280605,28.00406348,148.892558,159.9834556,26.62409193,40.32185528,108.9501206
83.4491152,146.7139725,80.81951071,81.20053804,130.5149383,208.4660149,20.3689359,55.87680446,39.78496037,71.6014368,32.25378122,40.74835288,11.05650097,13.63244258,99.82358989,214.5922285,158.5133547,91.91101128,136.8252859,352.4926046,74.24142365,81.52946152,95.40411065,32.80574396,114.0821033,119.5665117,17.55985143,39.2195792,83.86833846
100.1912547,155.9702528,209.1482346,221.7380875,103.4656027,182.0252385,65.76529042,53.74698373,37.37471503,56.01138344,39.535396,52.22613101,22.87407459,15.48183206,65.22767933,164.3712749,108.3969491,75.42015728,115.7235504,353.4398106,71.09091294,93.18203214,54.85014254,25.34420543,95.15654547,84.67566354,32.91912906,46.98871698,82.56502536
97.45677918,158.3928095,265.848006,320.7018026,69.13185551,131.945346,86.96754141,42.33521701,35.88057088,53.67415005,47.52827131,51.00046967,22.68223041,15.61323777,52.73185406,110.6172686,81.19353254,58.00371309,80.74985111,337.1176989,62.09912691,96.99025206,40.44296843,32.33257349,54.87522412,49.95186216,37.1259275,48.97152845,75.24053089
